WorkID,WorkTitle,Genre,GenreID
2144,"Yat Madit","Narrative, Short story","20001, 2000134"
2144,"Yat Madit","Narrative, Short story","20001, 2000134"
3125,"Attack Surface","Narrative, Novel","20001, 2000133"
3125,"Attack Surface","Narrative, Novel","20001, 2000133"
2238,"Behind our Irises","Narrative, Short story","20001, 2000134"
2238,"Behind our Irises","Narrative, Short story","20001, 2000134"
2449,"Too Much","Narrative, Music video","20001, 2000316"
2449,"Too Much","Narrative, Music video","20001, 2000316"
1817,"Raised by Wolves","Narrative, TV series or episode","20001, 2000131"
1817,"Raised by Wolves","Narrative, TV series or episode","20001, 2000131"
2587,Superintelligence,"Narrative, Movie","20001, 2000130"
2587,Superintelligence,"Narrative, Movie","20001, 2000130"
2576,"The Midnight Sky","Narrative, Movie","20001, 2000130"
