WorkID,WorkTitle,Genre,GenreID
2599,"A Scanner Darkly","Narrative, Movie","20001, 2000130"
2599,"A Scanner Darkly","Narrative, Movie","20001, 2000130"
504,"Ayo Technology","Narrative, Music video","20001, 2000316"
504,"Ayo Technology","Narrative, Music video","20001, 2000316"
454,"Iron Man","Narrative, Movie","20001, 2000130"
454,"Iron Man","Narrative, Movie","20001, 2000130"
936,"House of Cards","Narrative, Music video","20001, 2000316"
936,"House of Cards","Narrative, Music video","20001, 2000316"
173,"Little Brother","Narrative, Novel","20001, 2000133"
173,"Little Brother","Narrative, Novel","20001, 2000133"
971,Moxyland,"Narrative, Novel","20001, 2000133"
971,Moxyland,"Narrative, Novel","20001, 2000133"
345,Paper,"Narrative, Music video","20001, 2000316"
345,Paper,"Narrative, Music video","20001, 2000316"
534,Skinned,"Narrative, Novel","20001, 2000133"
534,Skinned,"Narrative, Novel","20001, 2000133"
589,"The Hunger Games (series)","Narrative, Movie, Novel","20001, 2000130, 2000133"
589,"The Hunger Games (series)","Narrative, Movie, Novel","20001, 2000130, 2000133"
589,"The Hunger Games (series)","Narrative, Movie, Novel","20001, 2000130, 2000133"
2071,"Sleep Dealer","Narrative, Movie","20001, 2000130"
2071,"Sleep Dealer","Narrative, Movie","20001, 2000130"
931,"Better off Ted","Narrative, TV series or episode","20001, 2000131"
931,"Better off Ted","Narrative, TV series or episode","20001, 2000131"
704,"Glad Girls","Narrative, Music video","20001, 2000316"
704,"Glad Girls","Narrative, Music video","20001, 2000316"
349,"Heartbreak Warfare","Narrative, Music video","20001, 2000316"
349,"Heartbreak Warfare","Narrative, Music video","20001, 2000316"
389,"True Beauty","Narrative, TV series or episode","20001, 2000131"
389,"True Beauty","Narrative, TV series or episode","20001, 2000131"
2635,Stellar,"Narrative, Music video","20001, 2000316"
2635,Stellar,"Narrative, Music video","20001, 2000316"
1931,"2033: La Ilusión de un Futuro Mejor","Narrative, Movie","20001, 2000130"
1931,"2033: La Ilusión de un Futuro Mejor","Narrative, Movie","20001, 2000130"
2297,"Technotise: Edit & I","Narrative, Movie","20001, 2000130"
2297,"Technotise: Edit & I","Narrative, Movie","20001, 2000130"
2095,"For Want of a Nail","Narrative, Short story","20001, 2000134"
2095,"For Want of a Nail","Narrative, Short story","20001, 2000134"
553,"Black Mirror","Narrative, TV series or episode","20001, 2000131"
553,"Black Mirror","Narrative, TV series or episode","20001, 2000131"
2689,BlinkyTM,"Narrative, Movie","20001, 2000130"
