SituationID,SituationTitle,Genre,Character,CharacterID,Entity,Technology,Verb
3248,"NieR: Automata (Fighting AI in hacking space)",Game,"Red Girls",2733,,,"Projected, Fighting, Arguing, Outsmarted"
3248,"NieR: Automata (Fighting AI in hacking space)",Game,A2,3247,,,"Navigating, Transporting, Hacking, Fighting, Outsmarting"
3248,"NieR: Automata (Fighting AI in hacking space)",Game,"Red Girls",2733,,,"Projected, Fighting, Arguing, Outsmarted"
3248,"NieR: Automata (Fighting AI in hacking space)",Game,A2,3247,,,"Navigating, Transporting, Hacking, Fighting, Outsmarting"
3246,"Tacoma (AR motion tracking)",Game,"Amitjyoti ""Amy"" Ferrier",1695,,,"Signing, Tracked, Scanned, Registered"
3246,"Tacoma (AR motion tracking)",Game,,,,"Motion tracking","Tracking, Scanning, Registering"
3246,"Tacoma (AR motion tracking)",Game,,,,"Motion tracking","Tracking, Scanning, Registering"
3246,"Tacoma (AR motion tracking)",Game,,,,"Motion tracking","Tracking, Scanning, Registering"
3246,"Tacoma (AR motion tracking)",Game,,,,"Augmented reality",Visualising
3246,"Tacoma (AR motion tracking)",Game,"Amitjyoti ""Amy"" Ferrier",1695,,,"Signing, Tracked, Scanned, Registered"
3246,"Tacoma (AR motion tracking)",Game,"Amitjyoti ""Amy"" Ferrier",1695,,,"Signing, Tracked, Scanned, Registered"
3246,"Tacoma (AR motion tracking)",Game,"Amitjyoti ""Amy"" Ferrier",1695,,,"Signing, Tracked, Scanned, Registered"
3245,"Deus Ex: Human Revolution (Avoiding security cameras)",Game,"Adam Jensen",2854,,,"Avoiding, Hacking, Disabling"
3245,"Deus Ex: Human Revolution (Avoiding security cameras)",Game,"Adam Jensen",2854,,,"Avoiding, Hacking, Disabling"
3245,"Deus Ex: Human Revolution (Avoiding security cameras)",Game,"Adam Jensen",2854,,,"Avoiding, Hacking, Disabling"
3245,"Deus Ex: Human Revolution (Avoiding security cameras)",Game,,,,"Surveillance cameras","Disabled, Hacked, Alerting"
