Creator,Creator_WikidataID
!Mediengruppe Bitnik,NA
3D Realms,Q229459
5 Lives Studios,Q33198438
50 Cent,Q6060
A-1 Pictures,Q277763
Aaron Guzikowski,Q302063
Activision,Q200491
Adam B. Stein,NA
Adam Harvey,Q96417562
Addie Wagenknecht,Q23417143
AFK,Q51281415
Agnieszka Kurant,Q19267078
Alan Walker,Q21808729
Aldous Huxley,NA
Aleksa Gajic,Q782458
Alessandro Ludovico,NA
Alex Rivera,Q4717691
Alexandr Kessel,NA
Alexandra Olivia,NA
Alexandra Saemmer,Q111320106
Alfonso Cuarón,Q28028
Alice & Smith,Q104869991
Amir Bastan,NA
Amy Alexander,Q4749066
Anaisa Franco,NA
Andrés Burbano,NA
Andrew Benson,Q4756330
Andrew Niccol,Q360737
Andri Snær Magnason,Q463575
Ann Leckie,Q16204354
Anna Mill,NA
Anna Ridler,Q94415599
Annalee Newitz,Q4767817
Anne Bjørnstad,Q19310220
Anonymous,NA
Anthony & Joseph Russo,NA
Arcangel Constantini,Q19560575
Arkady Martine,Q58640138
Arne Garborg,Q467497
Ars Electronica Futurelab (AT),NA
Arthur Charles Clarke,NA
Ashton Kutcher,Q164782
Asia Bazdyrieva,NA
Audrey Fouché,Q2870844
Audrey Samson,NA
Ayodamola Tanimowo Okunseinde,NA
b wijshijer,NA
Barbara Nordhjem,NA
Becky Chambers,Q25298820
Ben Chang,NA
Ben Falcone,Q2082056
Bengt Sjölén,NA
Benjamin Maus,Q83808309
Benjanun Sriduangkaew,Q17465706
Bernardo Fontes,NA
Bernhard Hopfengärnter,NA
BioWare,Q219758
Bjarne Benjaminsen,Q88536422
Bjørn Erik Haugen,NA
Bjørn Vatne,Q54197034
Blizzard Entertainment,Q178824
Bloober Team,Q389526
Bob Mould,Q888152
Bob Persichetti,Q60784779
Brad Bird,NA
Bruno Moreschi,NA
Bruno Vianna,Q8252886
Bryan Singer,Q220751
Bungie Studios,NA
Bureau of Inverse Technology (BIT),NA
Camouflaj,Q98411159
Casino,NA
CD Projekt RED,Q1172164
Cesar Baio,NA
Chance Agency,NA
Charlie Brooker,Q2960837
Chelsea E. Manning,NA
