Title,ID,"Publication Type","Publication Type ID","This character","This character ID",Entity,"Entity ID",Technology,"Technology ID",Verb,"Verb ID"
"Emily Eternal (Simulation of world)",3256,"Narrative, Novel","20001, 2000133",Emily,3251,,,,,"Watching, Disempowered, Scared","2000350, 20002040, 2000417"
"Emily Eternal (Simulation of world)",3256,"Narrative, Novel","20001, 2000133",,,,,"Surveillance cameras",200080,"Displaying, Flawed","2000398, 2000627"
"Emily Eternal (Interface chip)",3253,"Narrative, Novel","20001, 2000133",Emily,3251,,,,,"Manipulating, Seen, Communicating, Helping","2000486, 20001196, 2000514, 2000372"
"Emily Eternal (Interface chip)",3253,"Narrative, Novel","20001, 2000133",,,,,"AI (General Purpose Artificial Intelligence), Augmented reality","2000152, 200074","Manipulating, Interacting, Seen, Communicating","2000486, 20001111, 20001196, 2000514"
"Emily Eternal (Interface chip)",3253,"Narrative, Novel","20001, 2000133",Regina,3254,,,,,"Manipulated, Communicating, Sensing, Helped","20001407, 2000514, 2000917, 2000518"
">observer_ (Neural police analysing mind VR)",3249,Game,20003,,,,,"Virtual reality",2000147,"Glitching, Navigated, Simulating, Disorienting","20001350, 20001914, 2000798, 20002086"
">observer_ (Neural police analysing mind VR)",3249,Game,20003,"Daniel Lazarski",1011,,,,,"Investigating, Navigating, Disoriented","2000366, 20001042, 20001424"
"NieR: Automata (Fighting AI in hacking space)",3248,Game,20003,,,,,"AI (General Purpose Artificial Intelligence)",2000152,"Hacked, Transforming","2000407, 20001539"
"NieR: Automata (Fighting AI in hacking space)",3248,Game,20003,,,,,"Virtual reality",2000147,"Navigated, Transporting","20001914, 2000942"
"NieR: Automata (Fighting AI in hacking space)",3248,Game,20003,A2,3247,,,,,"Navigating, Transporting, Hacking, Fighting, Outsmarting","20001042, 2000942, 2000409, 2000386, 20002085"
"NieR: Automata (Fighting AI in hacking space)",3248,Game,20003,"Red Girls",2733,,,,,"Projected, Fighting, Arguing, Outsmarted","20001451, 2000386, 20001794, 20002084"
"Tacoma (AR motion tracking)",3246,Game,20003,"Amitjyoti ""Amy"" Ferrier",1695,,,,,"Signing, Tracked, Scanned, Registered","20001570, 20001089, 2000658, 20001689"
"Tacoma (AR motion tracking)",3246,Game,20003,,,,,"Motion tracking",2000180,"Tracking, Scanning, Registering","2000498, 2000377, 20001258"
"Tacoma (AR motion tracking)",3246,Game,20003,,,,,"Augmented reality",200074,Visualising,20001273
"Deus Ex: Human Revolution (Avoiding security cameras)",3245,Game,20003,,,,,"Surveillance cameras",200080,"Disabled, Hacked, Alerting","20001425, 2000407, 2000943"
"Deus Ex: Human Revolution (Avoiding security cameras)",3245,Game,20003,"Adam Jensen",2854,,,,,"Avoiding, Hacking, Disabling","2000405, 2000409, 20001903"
"Deus Ex: Human Revolution (CASIE implant conversation analyses)",3244,Game,20003,"Adam Jensen",2854,,,,,"Upgraded, Helped, Conversating","20001630, 2000518, 2000939"
"Deus Ex: Human Revolution (CASIE implant conversation analyses)",3244,Game,20003,,,,,"Body scans, Optical/ocular implant","200090, 2000127","Helping, Scanning, Analysing, Suggesting, Classifying","2000372, 2000377, 2000364, 20002012, 2000759"
"Deus Ex: Human Revolution (CASIE implant conversation analyses)",3244,Game,20003,,,"Humans in general",2000356,,,"Scanned, Analysed, Classified, Conversating","2000658, 2000880, 20001293, 2000939"
"Remember Me (Learning from Remembrane holograms)",3243,Game,20003,Nilin,621,,,,,"Watching, Learning, Following","2000350, 2000633, 2000634"
"Remember Me (Learning from Remembrane holograms)",3243,Game,20003,,,,,"Augmented reality, Holograms","200074, 20001339","Displayed, Followed","2000888, 2000687"
"Borderlands 3 (SNTL drone)",3241,Game,20003,Zane,2927,,,,,"Deploying, Ordering, Helped","20002081, 20001297, 2000518"
"Borderlands 3 (SNTL drone)",3241,Game,20003,,,,,"Drones (UAV)",200079,"Deployed, Ordered, Helping, Shooting, Limited","20002082, 20002083, 2000372, 2000800, 20001492"
"Call of Duty 4: Modern Warfare (Sniper rifle 900m zoom)",3238,Game,20003,"Lt. John Price",3239,,,,,"Waiting, Calculating, Surveilling, Sniping, Wounding","20001060, 20001410, 2000432, 20002032, 20001656"
"Call of Duty 4: Modern Warfare (Sniper rifle 900m zoom)",3238,Game,20003,,,,,Microscope/Telescope,2000195,"Zooming, Enabling","2000363, 20001092"
"Call of Duty 4: Modern Warfare (Sniper rifle 900m zoom)",3238,Game,20003,"Imran Zakhaev",3240,,,,,"Surveilled, Wounded, Sniped","2000981, 20001847, 20002080"
"Horizon Zero Dawn (Faulty Identiscan)",3236,Game,20003,Aloy,277,,,,,"Scanned, Excluded","2000658, 20001053"
"Horizon Zero Dawn (Faulty Identiscan)",3236,Game,20003,,,,,"AI (General Purpose Artificial Intelligence), Biometrics","2000152, 20009","Scanning, Failing, Excluding","2000377, 2000499, 20002046"
"Horizon Zero Dawn (Identiscan)",3235,Game,20003,Aloy,277,,,,,"Scanned, Identified, Matched, Accessing","2000658, 2000500, 20001118, 20001003"
"Horizon Zero Dawn (Identiscan)",3235,Game,20003,,,,,"AI (General Purpose Artificial Intelligence), Biometrics","2000152, 20009","Scanning, Identifying, Matching","2000377, 2000354, 2000599"
"Detroit: Become Human (Hacking elevator camera to avoid guards)",3234,Game,20003,Connor,305,,,,,"Hacking, Fighting, Cloaking, Killing","2000409, 2000386, 20001482, 2000344"
"Detroit: Become Human (Hacking elevator camera to avoid guards)",3234,Game,20003,,,,,"Surveillance cameras",200080,"Hacked, Blinded","2000407, 20001169"
"Detroit: Become Human (Hacking elevator camera to avoid guards)",3234,Game,20003,,,"Law enforcement",2000441,,,"Fighting, Killed","2000386, 2000346"
"Detroit: Become Human (Hacking elevator camera to avoid guards)",3234,Game,20003,,,Corporation,2000332,,,Blinded,20001169
"Assassin's Creed IV: Black Flag (Hacking surveillance camera)",3233,Game,20003,,,User,2000381,,,"Hacking, Spying","2000409, 2000360"
"Assassin's Creed IV: Black Flag (Hacking surveillance camera)",3233,Game,20003,,,,,"Surveillance cameras",200080,"Hacked, Revealing","2000407, 2000368"
"A Disappeared Movement (Participants avoid surveillance cameras)",3228,"Art, Performance art","20002, 2000140",,,,,"Surveillance cameras",200080,"Surveilling, Tracking, Recording, Tricked","2000432, 2000498, 2000403, 2000723"
"A Disappeared Movement (Participants avoid surveillance cameras)",3228,"Art, Performance art","20002, 2000140",,,Creator,2000334,,,"Guiding, Mapping, Studying, Researching, Examining, Teaching, Avoiding, Tricking","2000442, 2000749, 20001690, 20001113, 20001495, 2000635, 2000405, 2000371"
"A Disappeared Movement (Participants avoid surveillance cameras)",3228,"Art, Performance art","20002, 2000140",,,"Humans in general",2000356,,,"Following, Learning, Avoiding, Tricking","2000634, 2000633, 2000405, 2000371"
"Squid Game (Robot uses motion detection to kill contestants)",3221,"Narrative, TV series or episode","20001, 2000131","Robot doll (Squid Game)",3224,,,,,"Targeting, Detecting, Killing, Instructing, Playing","2000617, 2000941, 2000344, 2000636, 2000624"
"Squid Game (Robot uses motion detection to kill contestants)",3221,"Narrative, TV series or episode","20001, 2000131",,,Corporation,2000332,,,"Entertained, Directing, Watching","20001320, 2000793, 2000350"
"Squid Game (Robot uses motion detection to kill contestants)",3221,"Narrative, TV series or episode","20001, 2000131","Gi-hun Seong",3223,,,,,"Playing, Complying, Panicking, Realizing","2000624, 20001069, 2000577, 20001497"
"Squid Game (Robot uses motion detection to kill contestants)",3221,"Narrative, TV series or episode","20001, 2000131",,,,,"Motion tracking",2000180,Detecting,2000941
"Squid Game (Robot uses motion detection to kill contestants)",3221,"Narrative, TV series or episode","20001, 2000131",,,"Humans in general",2000356,,,"Playing, Complying, Panicking, Realizing, Killed","2000624, 20001069, 2000577, 20001497, 2000346"
"Moth & Whisper & Whisper (Ubiquitous Surveillance)",3219,"Narrative, Comic","20001, 2000330",,,,,"Surveillance cameras",200080,"Advertised, Displayed","20002078, 2000888"
"Moth & Whisper & Whisper (Ubiquitous Surveillance)",3219,"Narrative, Comic","20001, 2000330",,,"Humans in general",2000356,,,"Surveilled, Threatened","2000981, 20001131"
"Moth & Whisper & Whisper (Ubiquitous Surveillance)",3219,"Narrative, Comic","20001, 2000330",,,"Law enforcement",2000441,,,"Threatening, Surveilling","2000618, 2000432"
"Moth & Whisper (Weaver Suit)",3218,"Narrative, Comic","20001, 2000330",Niki,3217,,,,,"Disguised, Disguising, Hiding, Evading","20001428, 20001185, 2000397, 2000438"
"Moth & Whisper (Weaver Suit)",3218,"Narrative, Comic","20001, 2000330",,,Government,2000333,,,"Evaded, Searching","2000932, 2000615"
"Moth & Whisper (Weaver Suit)",3218,"Narrative, Comic","20001, 2000330",,,,,"Facial recognition",20007,"Searching, Evaded","2000615, 2000932"
"Moth & Whisper (Weaver Suit)",3218,"Narrative, Comic","20001, 2000330",,,,,"Image generation",200073,"Disguising, Hiding","20001185, 2000397"
"Klara and the Sun (Klara sees the world as partitioned)",3215,"Narrative, Novel","20001, 2000133",Klara,3213,,,,,"Analysing, Confused","2000364, 2000554"
"Klara and the Sun (Klara sees the world as partitioned)",3215,"Narrative, Novel","20001, 2000133",,,,,"AI (General Purpose Artificial Intelligence), Object recognition","2000152, 200015","Analysing, Confused","2000364, 2000554"
"Klara and the Sun (Klara sees the world as partitioned)",3215,"Narrative, Novel","20001, 2000133","The Mother (Klara and the Sun)",3214,,,,,"Analysed, Confusing","2000880, 20001946"
"AI Facial Profiling, Levels of Paranoia (classifying threat)",3211,"Art, Installation art","20002, 2000138",,,,,"Facial recognition",20007,"Classifying, Predicting, Warning, Judging, Trained","2000759, 2000395, 2000884, 2000414, 20001391"
"AI Facial Profiling, Levels of Paranoia (classifying threat)",3211,"Art, Installation art","20002, 2000138",,,User,2000381,,,"Scanned, Photographed, Classified, Judged, Posing","2000658, 2000819, 20001293, 20001001, 2000708"
"AI Facial Profiling, Levels of Paranoia (classifying threat)",3211,"Art, Installation art","20002, 2000138",,,Creator,2000334,,,"Choosing, Collecting, Training","20001011, 2000728, 2000920"
"Deep Down Tidal (bias image search)",3207,"Art, Video art","20002, 2000139",,,,,"Object recognition",200015,"Excluding, Discriminating, Controlling","20002046, 20001435, 2000402"
"Deep Down Tidal (bias image search)",3207,"Art, Video art","20002, 2000139","Woman with smartphone (Deep Down Tidal)",3206,,,,,"Searching, Excluded, Controlled, Discriminated","2000615, 20001053, 2000543, 20001436"
"The Other Nefertiti (nefertiti hack)",3203,Art,20002,,,Creator,2000334,,,"Hacking, Subverting, Decolonizing, Pirating, Sharing","2000409, 2000598, 20002074, 20002075, 2000424"
"The Other Nefertiti (nefertiti hack)",3203,Art,20002,,,,,"3D scans",20001081,"Replicating, Digitalizing, Datafying","20001029, 20002076, 20001417"
"The Other Nefertiti (nefertiti hack)",3203,Art,20002,,,Object,2000962,,,"Replicated, Shared, Digitalized","20001865, 2000830, 20002077"
"INTERHUMAN (latent walks)",3199,"Art, Video art","20002, 2000139",,,Creator,2000334,,,"Collecting, Photographing, Including, Training","2000728, 20001058, 20002073, 2000920"
"INTERHUMAN (latent walks)",3199,"Art, Video art","20002, 2000139",,,,,"Machine learning",200012,"Trained, Explored","20001391, 20002072"
"INTERHUMAN (latent walks)",3199,"Art, Video art","20002, 2000139",,,,,"Image generation",200073,"Generating, Morphing, Visualising","2000666, 2000693, 20001273"
"INTERHUMAN (latent walks)",3199,"Art, Video art","20002, 2000139",,,Image,2000335,,,"Changing, Merging, Generated","20001361, 20001322, 2000894"
"INTERHUMAN (latent walks)",3199,"Art, Video art","20002, 2000139",,,"Humans in general",2000356,,,"Posing, Feeling, Photographed","2000708, 20001164, 2000819"
"comeback (rejected by Instagram)",3195,Art,20002,,,,,Filtering,200013,"Overlaying, Decorating, Moderated, Rejected, Adapted, Changing, Misinterpreted","20001785, 2000453, 20002067, 20001992, 20002068, 20001361, 20001730"
"comeback (rejected by Instagram)",3195,Art,20002,,,Creator,2000334,,,"Creating, Adapting, Publishing","2000457, 20002069, 20001409"
"comeback (rejected by Instagram)",3195,Art,20002,,,,,"Machine learning",200012,"Moderating, Failing, Misinterpreting","20002070, 2000499, 20001731"
"The Zizi Show (creating Zizi)",3190,"Art, Online art","20002, 2000159",,,,,Deepfake,200072,"Entertaining, Queering, Demystifying, Controlled, Breaking, Trained","2000472, 20002065, 20002066, 2000543, 2000555, 20001391"
"The Zizi Show (creating Zizi)",3190,"Art, Online art","20002, 2000159",Zizi,3192,,,,,"Entertaining, Introducing, Guiding, Created, Breaking","2000472, 20001641, 2000442, 20001327, 2000555"
"The Zizi Show (creating Zizi)",3190,"Art, Online art","20002, 2000159","Drag Artists (The Zizi Show)",3191,,,,,"Photographed, Replicated, Posing","2000819, 20001865, 2000708"
"The Zizi Show (creating Zizi)",3190,"Art, Online art","20002, 2000159",,,User,2000381,,,"Picking, Entertained, Learning","2000835, 20001320, 2000633"
"Salaf (erasing stereotypical narratives)",3186,"Art, Photograph/print/painting","20002, 2000157",,,,,"Object recognition",200015,"Failing, Frustrating, Narrating, Classifying, Excluding, Misinterpreting","2000499, 20001616, 20001021, 2000759, 20002046, 20001731"
"Salaf (erasing stereotypical narratives)",3186,"Art, Photograph/print/painting","20002, 2000157",,,Creator,2000334,,,"Frustrated, Erasing, Collecting, Training, Experimenting, Demonstrating","20001338, 2000995, 2000728, 2000920, 2000900, 2000468"
"Salaf (erasing stereotypical narratives)",3186,"Art, Photograph/print/painting","20002, 2000157",,,,,"Image generation, Machine learning","200073, 200012","Generating, Trained, Illustrating","2000666, 20001391, 2000652"
"Salaf (erasing stereotypical narratives)",3186,"Art, Photograph/print/painting","20002, 2000157","Saudi and Iraqi ancestors",3187,,,,,"Excluded, Classified, Misinterpreted","20001053, 20001293, 20001730"
"Artificial Remnants 2.0 (generating new specimens of insects)",3183,"Art, Installation art, Online art","20002, 2000138, 2000159",,,,,"Image generation, Machine learning","200073, 200012","Trained, Generating, Morphing, Co-creating","20001391, 2000666, 2000693, 20001013"
"Artificial Remnants 2.0 (generating new specimens of insects)",3183,"Art, Installation art, Online art","20002, 2000138, 2000159",,,Creator,2000334,,,"Choosing, Training, Curating","20001011, 2000920, 2000760"
"Artificial Remnants 2.0 (generating new specimens of insects)",3183,"Art, Installation art, Online art","20002, 2000138, 2000159",,,Image,2000335,,,"Created, Curated, Representing","20001327, 20002042, 20001333"
"Masked Reality (generating masks)",3179,"Art, Installation art","20002, 2000138",,,,,"Image generation, Machine learning","200073, 200012","Generating, Masking, Overlayed","2000666, 20001909, 20001971"
"Masked Reality (generating masks)",3179,"Art, Installation art","20002, 2000138",,,,,"Facial recognition",20007,"Detecting, Overlaying","2000941, 20001785"
"Masked Reality (generating masks)",3179,"Art, Installation art","20002, 2000138",,,User,2000381,,,"Masked, Mimicking, Playing","20001082, 2000471, 2000624"
"HOW TO EDIT YOUR SELFIES (overlaying filters)",3176,"Art, Video art","20002, 2000139",,,,,Filtering,200013,"Overlaying, Distorting, Changing, Misused, Repeated","20001785, 2000463, 20001361, 20001636, 20002061"
"HOW TO EDIT YOUR SELFIES (overlaying filters)",3176,"Art, Video art","20002, 2000139",,,Creator,2000334,,,"Repeating, Misusing, Demonstrating","20002062, 20002063, 2000468"
"The Argus Project (armor with cameras)",3173,"Art, Video art, Installation art","20002, 2000139, 2000138",Argus,3172,,,,,"Walking, Protected, Monitoring, Sousveilling","20001198, 2000885, 2000524, 20002060"
"The Argus Project (armor with cameras)",3173,"Art, Video art, Installation art","20002, 2000139, 2000138",,,,,"Camera, Cameraphone","2000206, 2000154","Protecting, Witnessing, Capturing","2000411, 2000547, 2000572"
"The Argus Project (armor with cameras)",3173,"Art, Video art, Installation art","20002, 2000139, 2000138",,,"Law enforcement",2000441,,,"Monitored, Filmed, Threatening, Discriminating, Killing","2000685, 20001096, 2000618, 20001435, 2000344"
"Zanan Disruption (placing statues)",3162,"Art, Photograph/print/painting","20002, 2000157",,,,,"Interactive panoramas",2000155,"Representing, Captured, Altered, Uploaded","20001333, 20001039, 2000476, 20001729"
"Zanan Disruption (placing statues)",3162,"Art, Photograph/print/painting","20002, 2000157",,,Creator,2000334,,,"Appropriating, Placing","2000815, 20001408"
"The Most Beautiful Women (replacing faces)",3158,"Art, Video art","20002, 2000139",,,,,Deepfake,200072,"Replacing, Overlaying","2000647, 20001785"
"The Most Beautiful Women (replacing faces)",3158,"Art, Video art","20002, 2000139",,,Creator,2000334,,,"Imposing, Questioning, Stating","20002057, 2000519, 20001356"
"Future Tense: AI from the margins (oppressive AI)",3153,"Art, Video art","20002, 2000139","""Nakeema Stefflbauer""",3152,,,,,"Narrating, Experiencing, Oppressed, Classified, Misinterpreted, Excluded, Monitored, Surveilled","20001021, 20001102, 2000540, 20001293, 20001730, 20001053, 2000685, 2000981"
"Future Tense: AI from the margins (oppressive AI)",3153,"Art, Video art","20002, 2000139",,,,,"Emotion recognition, Facial recognition, Machine learning","200091, 20007, 200012","Oppressing, Classifying, Detecting, Excluding, Ignoring, Monitoring, Surveilling","2000539, 2000759, 2000941, 20002046, 20001280, 2000524, 2000432"
"The Human Detector (avoiding detection)",3148,"Art, Installation art","20002, 2000138",,,User,2000381,,,"Avoiding, Hiding, Disguising, Playing","2000405, 2000397, 20001185, 2000624"
"The Human Detector (avoiding detection)",3148,"Art, Installation art","20002, 2000138",,,Creator,2000334,,,"Subverting, Inverting, Questioning","2000598, 2000955, 2000519"
"The Human Detector (avoiding detection)",3148,"Art, Installation art","20002, 2000138",,,,,"Facial recognition, Machine learning","20007, 200012","Detecting, Alerting","2000941, 2000943"
"No More Selfies (Drone attack)",3145,"Narrative, Fan fiction","20001, 2000135",,,,,"Virtual reality",2000147,"Displaying, Connecting, Covering","2000398, 2000510, 20001481"
