Character,ID,Race/ethnicity,"Race/ethnicity ID",Gender,"Gender ID",Species,"Species ID",Age,"Age ID",Sexuality,"Sexuality ID"
"Johnny Silverhand",3107,White,2000216,Male,2000149,Machine,2000220,Adult,2000227,Heterosexual,2000999
"Alt Cunningham",3105,White,2000216,Female,2000148,Machine,2000220,Adult,2000227,Heterosexual,2000999
"Miles Kilo",3101,White,2000216,Male,2000149,Cyborg,2000221,Adult,2000227,"Unknown/not applicable",20001506
"Chad Mulligan",3100,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Trevor Philips",3099,"Unknown/not applicable",2000217,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Franklin Clinton",3098,Black,2000310,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Robert ""Red"" Ramsey",3096,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Cole Black",3094,"Unknown/not applicable",2000217,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Huangyan (Yellow Eye)",3086,Asian,2000323,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Sexy woman (Ayo Technology)",3084,White,2000216,Female,2000148,Human,2000219,Adult,2000227,Heterosexual,2000999
"Peter Riviera",3079,"Unknown/not applicable",2000217,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Sara/Scott Ryder",3074,White,2000216,"Unknown/Not applicable",2000151,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Jack ""Pulse"" Estrada",3073,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Chul Kyung ""Vigil"" Hwa",3071,Asian,2000323,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Nøkk,3070,"Unknown/not applicable",2000217,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Mattie,3064,White,2000216,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Aria ""Alibi"" de Luca",3061,Multiple/complex,2000324,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Nienke ""Iana"" Meijer",3060,"Unknown/not applicable",2000217,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Ryad Ramírez ""Jackal"" Al-Hassar",3059,"Unknown/not applicable",2000217,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Sao Paulo citizens",3056,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Human,2000219,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"Timur ""Glaz"" Glazkov",3055,"Unknown/not applicable",2000217,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Mechanical Turk Workers (selfiecity)",3053,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Katie's dog",3045,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Animal,2000222,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
Katie,3032,White,2000216,Female,2000148,Human,2000219,"Young adult",2000225,Homosexual,20001199
SHN,3027,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Machine,2000220,Adult,2000227,"Unknown/not applicable",20001506
"Anna Agarwal",3025,"Unknown/not applicable",2000217,Female,2000148,Human,2000219,Adult,2000227,Homosexual,20001199
Beacon,3022,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Machine,2000220,Adult,2000227,"Unknown/not applicable",20001506
"Amber Rose 348",3021,"Unknown/not applicable",2000217,Male,2000149,Machine,2000220,Adult,2000227,Heterosexual,2000999
"Lydia (State of Mind)",3004,White,2000216,Female,2000148,Human,2000219,Adult,2000227,Heterosexual,2000999
"Angela (State of Mind)",3002,White,2000216,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Kevin's wife (Solar Opposites)",3000,White,2000216,Female,2000148,Human,2000219,Adult,2000227,Heterosexual,2000999
"Kevin (Solar Opposites)",2999,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Men with man caves (Solar Opposites)",2998,"Unknown/not applicable",2000217,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Jesse (Solar Opposites)",2994,"Unknown/not applicable",2000217,Non-binary/Other,2000150,"Fictional species",2000223,"Young adult",2000225,"Unknown/not applicable",20001506
"Terry (Solar Opposites)",2993,"Unknown/not applicable",2000217,Male,2000149,"Fictional species",2000223,Adult,2000227,"Unknown/not applicable",20001506
Korvo,2992,"Unknown/not applicable",2000217,Male,2000149,"Fictional species",2000223,Adult,2000227,"Unknown/not applicable",20001506
P.A.T.R.I.C.I.A.,2991,White,2000216,Female,2000148,Machine,2000220,Adult,2000227,"Unknown/not applicable",20001506
"AMT workers (Assembly Line)",2982,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Animal Robots (Simpsons)",2965,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Machine,2000220,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"Interviewed Young Adults (3%)",2964,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Human,2000219,"Young adult",2000225,"Unknown/not applicable",20001506
"Animals (The Last Human)",2963,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Animal,2000222,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"Endangered Bird (STET)",2962,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Animal,2000222,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"Mae's parents",2960,White,2000216,"Unknown/Not applicable",2000151,Human,2000219,Elderly,2000226,Heterosexual,2000999
Renata,2957,"Unknown/not applicable",2000217,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Alan Hakman",2956,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Mrs Munroe",2953,White,2000216,Female,2000148,Human,2000219,Elderly,2000226,Heterosexual,2000999
"Girl (The Final Cut)",2951,"Unknown/not applicable",2000217,Female,2000148,Human,2000219,"Young adult",2000225,"Unknown/not applicable",20001506
"Hitomi Yoshida",2947,"Unknown/not applicable",2000217,Female,2000148,Human,2000219,Adult,2000227,Heterosexual,2000999
"Riva Karnovsky",2946,"Unknown/not applicable",2000217,Female,2000148,Human,2000219,Adult,2000227,Heterosexual,2000999
Beth,2942,White,2000216,Female,2000148,Human,2000219,Adult,2000227,Heterosexual,2000999
Ffion,2941,White,2000216,Female,2000148,Human,2000219,Adult,2000227,Heterosexual,2000999
"Leo (URME)",2933,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Man (...som duften av en drøm...)",2930,"Unknown/not applicable",2000217,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Victim (Rugal)",2929,Asian,2000323,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Zane,2927,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Other,20001823
"Hwang Deuk-Gu",2925,Asian,2000323,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Memo Cruz's Father",2924,"Person of colour",2000215,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Memo Cruz",2923,"Person of colour",2000215,Male,2000149,Human,2000219,"Young adult",2000225,"Unknown/not applicable",20001506
"PEC goverment offical",2921,"Person of colour",2000215,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Lucía,2920,White,2000216,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Sonya Safronova",2919,White,2000216,Female,2000148,Human,2000219,Child,2000224,"Unknown/not applicable",20001506
"Alla Safronova",2918,White,2000216,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Men in board room (Better Than Us)",2916,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Hunted Child (2033: La Ilusión de un Futuro Mejor)",2914,"Person of colour",2000215,Male,2000149,Human,2000219,Child,2000224,"Unknown/not applicable",20001506
"Hunted Father (2033: La Ilusión de un Futuro Mejor)",2913,"Person of colour",2000215,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
